circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
52,1100,1101,200000,199052,0.99526,boundary_analytic,1
52,1000,1001,200000,173389,0.866945,boundary_analytic,1
53,1000,0000,200000,200000,1.0,boundary_analytic,1
53,0010,0000,200000,200000,1.0,boundary_analytic,1
53,0010,0011,200000,200000,1.0,boundary_analytic,1
53,0011,1011,200000,152479,0.762395,boundary_analytic,1
53,1100,1110,200000,197361,0.986805,boundary_analytic,1
53,1100,1101,200000,177644,0.88822,boundary_analytic,1
53,1000,1001,200000,173389,0.866945,boundary_analytic,1
54,1000,0000,200000,200000,1.0,boundary_analytic,1
54,0010,0000,200000,200000,1.0,boundary_analytic,1
54,0010,0011,200000,200000,1.0,boundary_analytic,1
54,0011,0111,200000,173626,0.86813,boundary_analytic,1
54,1100,1110,200000,197361,0.986805,boundary_analytic,1
55,1000,0000,200000,200000,1.0,boundary_analytic,1
55,0010,0000,200000,200000,1.0,boundary_analytic,1
55,0010,0011,200000,200000,1.0,boundary_analytic,1
55,0011,0111,200000,133241,0.666205,boundary_analytic,1
55,1100,1110,200000,197361,0.986805,boundary_analytic,1
55,1100,1101,200000,182326,0.91163,boundary_analytic,1
56,1000,0000,200000,200000,1.0,boundary_analytic,1
56,0010,0000,200000,200000,1.0,boundary_analytic,1
56,0010,0011,200000,200000,1.0,boundary_analytic,1
56,0011,1011,200000,152479,0.762395,boundary_analytic,1
56,0011,0111,200000,133241,0.666205,boundary_analytic,1
56,1100,1110,200000,197361,0.986805,boundary_analytic,1
57,1000,0000,200000,200000,1.0,boundary_analytic,1
57,0010,0000,200000,200000,1.0,boundary_analytic,1
57,0010,0011,200000,200000,1.0,boundary_analytic,1
57,0011,0111,200000,133241,0.666205,boundary_analytic,1
57,1100,1110,200000,197361,0.986805,boundary_analytic,1
57,1100,1101,200000,177644,0.88822,boundary_analytic,1
57,1000,1001,200000,173389,0.866945,boundary_analytic,1
58,1000,0000,200000,200000,1.0,boundary_analytic,1
58,0010,0000,200000,200000,1.0,boundary_analytic,1
58,0010,0011,200000,200000,1.0,boundary_analytic,1
58,0011,1011,200000,180109,0.900545,boundary_analytic,1
58,0011,0111,200000,41596,0.20798,boundary_analytic,1
