circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
203,1010,1000,345,32,0.0928,bistable,1
204,1010,0010,397,397,1.0,bistable,1
204,1010,0000,397,356,0.8967,bistable,2
204,1010,1000,397,19,0.0479,bistable,1
205,1010,0010,7,7,1.0,bistable,1
205,1010,0000,7,7,1.0,bistable,2
206,1010,0010,10,10,1.0,bistable,1
206,1010,0000,10,8,0.8,bistable,2
206,1010,1000,10,1,0.1,bistable,1
207,1010,0010,379,379,1.0,bistable,1
207,1010,0000,379,333,0.8786,bistable,2
207,1010,1011,379,111,0.2929,invasion,1
207,1010,1000,379,17,0.0449,bistable,1
207,1011,0011,1,1,1.0,bistable,1
207,1011,0001,1,1,1.0,bistable,2
208,1010,0010,433,434,1.0023,bistable,1
208,1010,0000,433,371,0.8568,bistable,2
208,1010,1011,433,135,0.3118,invasion,1
208,1010,1000,433,31,0.0716,bistable,1
209,1010,0010,418,420,1.0048,bistable,1
209,1010,0000,418,364,0.8708,bistable,2
209,1010,1011,418,129,0.3086,invasion,1
209,1010,1000,418,26,0.0622,bistable,1
209,1001,1011,1,1,1.0,invasion,1
209,1001,0001,1,1,1.0,bistable,1
210,1010,0010,9,9,1.0,bistable,1
210,1010,0000,9,8,0.8889,bistable,2
210,1010,1000,9,1,0.1111,bistable,1
211,1010,0010,7,7,1.0,bistable,1
211,1010,0000,7,6,0.8571,bistable,2
211,1010,1000,7,1,0.1429,bistable,1
212,1010,0010,12,12,1.0,bistable,1
212,1010,0000,12,9,0.75,bistable,2
213,1010,0010,387,387,1.0,bistable,1
213,1010,0000,387,336,0.8682,bistable,2
213,1010,1000,387,26,0.0672,bistable,1
213,1010,1011,387,116,0.2997,invasion,1
213,1001,1011,4,4,1.0,invasion,1
213,1001,0001,4,4,1.0,bistable,1
214,1010,0010,392,393,1.0026,bistable,1
214,1010,1000,392,33,0.0842,bistable,1
214,1010,1011,392,132,0.3367,invasion,1
214,1010,0000,392,334,0.852,bistable,2
214,1011,0011,2,2,1.0,bistable,1
214,1011,1001,2,2,1.0,bistable,1
215,1010,0010,416,416,1.0,bistable,1
215,1010,1011,416,126,0.3029,invasion,1
215,1010,0000,416,348,0.8365,bistable,2
215,1010,1000,416,34,0.0817,bistable,1
216,1010,0010,380,380,1.0,bistable,1
216,1010,0000,380,326,0.8579,bistable,2
216,1010,1000,380,29,0.0763,bistable,1
217,1010,0010,20,20,1.0,bistable,1
217,1010,0000,20,17,0.85,bistable,2
217,1010,1000,20,2,0.1,bistable,1
218,1010,0010,377,377,1.0,bistable,1
218,1010,0000,377,320,0.8488,bistable,2
218,1010,1000,377,25,0.0663,bistable,1
219,1010,0010,13,13,1.0,bistable,1
219,1010,0000,13,11,0.8462,bistable,2
219,1001,1011,1,1,1.0,invasion,1
219,1001,0001,1,1,1.0,bistable,1
219,1010,1011,13,3,0.2308,invasion,1
220,1010,0010,5000,5000,1.0,bistable,1
220,1010,1000,5000,5000,1.0,bistable,1
220,1010,1011,5000,2367,0.4734,invasion,1
220,1011,0011,1,1,1.0,bistable,1
220,1011,1001,1,1,1.0,bistable,1
221,1010,1011,17,10,0.5882,invasion,1
221,1010,0010,17,17,1.0,bistable,1
221,1010,1000,17,17,1.0,bistable,1
221,1000,1010,241,219,0.9087,invasion,1
222,1000,1010,106,98,0.9245,invasion,1
222,1010,0010,5,5,1.0,bistable,1
222,1010,0000,5,5,1.0,bistable,2
222,1010,1011,5,3,0.6,invasion,1
223,1000,1010,135,122,0.9037,invasion,1
223,1000,1001,135,62,0.4593,invasion,1
223,1010,0010,9,9,1.0,bistable,1
223,1010,1011,9,2,0.2222,invasion,1
223,1010,0000,9,9,1.0,bistable,2
224,1000,1010,239,220,0.9205,invasion,1
224,1010,0010,12,12,1.0,bistable,1
224,1010,0000,12,10,0.8333,bistable,2
224,1010,1000,12,1,0.0833,bistable,1
225,1010,0010,4896,4896,1.0,bistable,1
225,1010,0000,4896,4733,0.9667,bistable,2
225,1010,1011,4896,1091,0.2228,invasion,1
225,1010,1000,4896,163,0.0333,bistable,1
226,1010,0010,4892,4892,1.0,bistable,1
226,1010,0000,4892,4734,0.9677,bistable,2
226,1010,1011,4892,1071,0.2189,invasion,1
226,1010,1000,4892,158,0.0323,bistable,1
227,1010,0010,471,474,1.0064,bistable,1
227,1010,1011,471,213,0.4522,invasion,1
227,1010,1000,471,426,0.9045,bistable,1
227,1001,1011,1,1,1.0,invasion,1
227,1001,0001,1,1,1.0,bistable,1
228,1010,0010,10,10,1.0,bistable,1
228,1010,1011,10,4,0.4,invasion,1
228,1010,0000,10,9,0.9,bistable,2
229,1010,0010,109,109,1.0,bistable,1
229,1010,1000,109,102,0.9358,bistable,1
230,1010,0010,90,90,1.0,bistable,1
230,1010,1000,90,74,0.8222,bistable,1
230,1010,1011,90,47,0.5222,invasion,1
231,1010,0010,92,92,1.0,bistable,1
231,1010,1000,92,90,0.9783,bistable,1
231,1010,1011,92,52,0.5652,invasion,1
232,1010,0010,73,73,1.0,bistable,1
232,1010,1000,73,64,0.8767,bistable,1
232,1010,1011,73,27,0.3699,invasion,1
233,1010,0010,69,69,1.0,bistable,1
233,1010,0000,69,59,0.8551,bistable,2
233,1010,1011,69,25,0.3623,invasion,1
233,1010,1000,69,4,0.058,bistable,1
234,1010,0010,77,77,1.0,bistable,1
234,1010,0000,77,70,0.9091,bistable,2
234,1010,1000,77,3,0.039,bistable,1
235,1010,0010,96,96,1.0,bistable,1
235,1010,0000,96,84,0.875,bistable,2
235,1010,1011,96,26,0.2708,invasion,1
235,1010,1000,96,4,0.0417,bistable,1
236,1010,0010,81,81,1.0,bistable,1
236,1010,0000,81,72,0.8889,bistable,2
236,1010,1011,81,27,0.3333,invasion,1
236,1010,1000,81,4,0.0494,bistable,1
237,1010,0010,90,90,1.0,bistable,1
237,1010,1000,90,6,0.0667,bistable,1
237,1010,0000,90,76,0.8444,bistable,2
237,1010,1011,90,25,0.2778,invasion,1
238,1010,0010,78,78,1.0,bistable,1
238,1010,0000,78,71,0.9103,bistable,2
238,1010,1000,78,5,0.0641,bistable,1
239,1010,0010,69,69,1.0,bistable,1
239,1010,0000,69,59,0.8551,bistable,2
239,1010,1011,69,13,0.1884,invasion,1
239,1010,1000,69,7,0.1014,bistable,1
240,1010,1011,73,21,0.2877,invasion,1
240,1010,0010,73,73,1.0,bistable,1
240,1010,1000,73,7,0.0959,bistable,1
240,1010,0000,73,62,0.8493,bistable,2
241,1010,0010,67,67,1.0,bistable,1
241,1010,0000,67,61,0.9104,bistable,2
241,1010,1011,67,21,0.3134,invasion,1
241,1010,1000,67,2,0.0299,bistable,1
242,1010,0010,81,81,1.0,bistable,1
242,1010,0000,81,72,0.8889,bistable,2
242,1010,1000,81,4,0.0494,bistable,1
243,1010,0010,74,74,1.0,bistable,1
243,1010,0000,74,65,0.8784,bistable,2
243,1010,1000,74,3,0.0405,bistable,1
244,1010,0010,86,86,1.0,bistable,1
244,1010,0000,86,73,0.8488,bistable,2
244,1010,1000,86,7,0.0814,bistable,1
245,1010,0010,70,70,1.0,bistable,1
245,1010,0000,70,61,0.8714,bistable,2
245,1010,1011,70,25,0.3571,invasion,1
245,1010,1000,70,8,0.1143,bistable,1
245,1011,0011,1,1,1.0,bistable,1
245,1011,0001,1,1,1.0,bistable,2
246,1010,0010,76,76,1.0,bistable,1
246,1010,0000,76,68,0.8947,bistable,2
246,1010,1011,76,20,0.2632,invasion,1
246,1010,1000,76,1,0.0132,bistable,1
247,1010,0010,87,87,1.0,bistable,1
247,1010,0000,87,70,0.8046,bistable,2
247,1010,1011,87,31,0.3563,invasion,1
247,1010,1000,87,10,0.1149,bistable,1
248,1010,0010,980,980,1.0,bistable,1
248,1010,1000,980,29,0.0296,bistable,1
248,1010,0000,980,951,0.9704,bistable,2
248,1010,1011,980,209,0.2133,invasion,1
249,1010,0010,101,101,1.0,bistable,1
249,1010,1011,101,40,0.396,invasion,1
249,1010,1000,101,90,0.8911,bistable,1
250,1010,0010,79,79,1.0,bistable,1
250,1010,1011,79,25,0.3165,invasion,1
250,1010,0000,79,71,0.8987,bistable,2
250,1010,1000,79,3,0.038,bistable,1
251,1010,0010,73,73,1.0,bistable,1
251,1010,0000,73,68,0.9315,bistable,2
251,1010,1011,73,19,0.2603,invasion,1
251,1010,1000,73,4,0.0548,bistable,1
252,1010,0010,70,72,1.0286,bistable,1
252,1010,0000,70,62,0.8857,bistable,2
252,1010,1000,70,1,0.0143,bistable,1
253,1010,0010,70,70,1.0,bistable,1
253,1010,1011,70,24,0.3429,invasion,1
253,1010,0000,70,60,0.8571,bistable,2
253,1010,1000,70,8,0.1143,bistable,1
254,1010,0010,76,76,1.0,bistable,1
254,1010,0000,76,72,0.9474,bistable,2
254,1010,1011,76,31,0.4079,invasion,1
254,1010,1000,76,2,0.0263,bistable,1
255,1010,0010,77,77,1.0,bistable,1
255,1010,0000,77,68,0.8831,bistable,2
255,1010,1011,77,21,0.2727,invasion,1
255,1010,1000,77,5,0.0649,bistable,1
256,1010,0010,66,66,1.0,bistable,1
256,1010,0000,66,53,0.803,bistable,2
256,1010,1011,66,25,0.3788,invasion,1
256,1010,1000,66,6,0.0909,bistable,1
1,1000,0000,200000,200000,1.0,boundary_analytic,1
1,0010,0000,200000,200000,1.0,boundary_analytic,1
1,0010,0011,200000,200000,1.0,boundary_analytic,1
1,1110,1111,200000,200000,1.0,boundary_analytic,1
2,1000,0000,200000,200000,1.0,boundary_analytic,1
2,0010,0000,200000,200000,1.0,boundary_analytic,1
2,0010,0011,200000,200000,1.0,boundary_analytic,1
2,0011,0111,200000,41596,0.20798,boundary_analytic,1
2,1110,1111,200000,200000,1.0,boundary_analytic,1
2,1011,1111,200000,198582,0.99291,boundary_analytic,1
3,1000,0000,200000,200000,1.0,boundary_analytic,1
3,0010,0000,200000,200000,1.0,boundary_analytic,1
3,0010,0011,200000,200000,1.0,boundary_analytic,1
3,1100,1101,200000,182326,0.91163,boundary_analytic,1
3,1110,1111,200000,200000,1.0,boundary_analytic,1
4,1000,0000,200000,200000,1.0,boundary_analytic,1
4,0010,0000,200000,200000,1.0,boundary_analytic,1
4,0010,0011,200000,200000,1.0,boundary_analytic,1
4,0011,1011,200000,152479,0.762395,boundary_analytic,1
4,1110,1111,200000,200000,1.0,boundary_analytic,1
5,1000,0000,200000,200000,1.0,boundary_analytic,1
5,0010,0000,200000,200000,1.0,boundary_analytic,1
5,0010,0011,200000,200000,1.0,boundary_analytic,1
5,1100,1101,200000,177644,0.88822,boundary_analytic,1
5,1000,1001,200000,173389,0.866945,boundary_analytic,1
5,1110,1111,200000,200000,1.0,boundary_analytic,1
6,1000,0000,200000,200000,1.0,boundary_analytic,1
6,0010,0000,200000,200000,1.0,boundary_analytic,1
6,0010,0011,200000,200000,1.0,boundary_analytic,1
6,0011,0111,200000,133241,0.666205,boundary_analytic,1
6,1110,1111,200000,200000,1.0,boundary_analytic,1
6,1011,1111,200000,199345,0.996725,boundary_analytic,1
7,1000,0000,200000,200000,1.0,boundary_analytic,1
7,0010,0000,200000,200000,1.0,boundary_analytic,1
7,0010,0011,200000,200000,1.0,boundary_analytic,1
7,1100,1110,200000,197361,0.986805,boundary_analytic,1
7,1110,1111,200000,200000,1.0,boundary_analytic,1
8,1000,0000,200000,200000,1.0,boundary_analytic,1
8,0010,0000,200000,200000,1.0,boundary_analytic,1
8,0010,0011,200000,200000,1.0,boundary_analytic,1
8,0011,1011,200000,180109,0.900545,boundary_analytic,1
8,1110,1111,200000,200000,1.0,boundary_analytic,1
9,1000,0000,200000,200000,1.0,boundary_analytic,1
9,0010,0000,200000,200000,1.0,boundary_analytic,1
9,0010,0011,200000,200000,1.0,boundary_analytic,1
9,1100,1110,200000,196625,0.983125,boundary_analytic,1
9,1000,1010,200000,195957,0.979785,boundary_analytic,1
9,1110,1111,200000,200000,1.0,boundary_analytic,1
10,1000,0000,200000,200000,1.0,boundary_analytic,1
10,0010,0000,200000,200000,1.0,boundary_analytic,1
10,0010,0011,200000,200000,1.0,boundary_analytic,1
10,0011,0111,200000,41596,0.20798,boundary_analytic,1
10,1100,1101,200000,182326,0.91163,boundary_analytic,1
10,1110,1111,200000,200000,1.0,boundary_analytic,1
10,1011,1111,200000,198582,0.99291,boundary_analytic,1
11,1000,0000,200000,200000,1.0,boundary_analytic,1
11,0010,0000,200000,200000,1.0,boundary_analytic,1
11,0010,0011,200000,200000,1.0,boundary_analytic,1
11,0011,1011,200000,152479,0.762395,boundary_analytic,1
11,0011,0111,200000,41596,0.20798,boundary_analytic,1
11,1110,1111,200000,200000,1.0,boundary_analytic,1
11,1011,1111,200000,198582,0.99291,boundary_analytic,1
12,1000,0000,200000,200000,1.0,boundary_analytic,1
12,0010,0000,200000,200000,1.0,boundary_analytic,1
12,0010,0011,200000,200000,1.0,boundary_analytic,1
12,0011,1011,200000,152479,0.762395,boundary_analytic,1
12,1100,1101,200000,182326,0.91163,boundary_analytic,1
12,1110,1111,200000,200000,1.0,boundary_analytic,1
13,1000,0000,200000,200000,1.0,boundary_analytic,1
13,0010,0000,200000,200000,1.0,boundary_analytic,1
13,0010,0011,200000,200000,1.0,boundary_analytic,1
13,0011,0111,200000,41596,0.20798,boundary_analytic,1
13,1100,1101,200000,177644,0.88822,boundary_analytic,1
13,1000,1001,200000,173389,0.866945,boundary_analytic,1
13,1110,1111,200000,200000,1.0,boundary_analytic,1
13,1011,1111,200000,198582,0.99291,boundary_analytic,1
14,1000,0000,200000,200000,1.0,boundary_analytic,1
14,0010,0000,200000,200000,1.0,boundary_analytic,1
14,0010,0011,200000,200000,1.0,boundary_analytic,1
14,1100,1101,200000,199052,0.99526,boundary_analytic,1
14,1000,1001,200000,173389,0.866945,boundary_analytic,1
14,1110,1111,200000,200000,1.0,boundary_analytic,1
15,1000,0000,200000,200000,1.0,boundary_analytic,1
15,0010,0000,200000,200000,1.0,boundary_analytic,1
15,0010,0011,200000,200000,1.0,boundary_analytic,1
15,0011,1011,200000,152479,0.762395,boundary_analytic,1
15,1100,1101,200000,177644,0.88822,boundary_analytic,1
15,1000,1001,200000,173389,0.866945,boundary_analytic,1
15,1110,1111,200000,200000,1.0,boundary_analytic,1
16,1000,0000,200000,200000,1.0,boundary_analytic,1
16,0010,0000,200000,200000,1.0,boundary_analytic,1
16,0010,0011,200000,200000,1.0,boundary_analytic,1
16,0011,0111,200000,173626,0.86813,boundary_analytic,1
16,1110,1111,200000,200000,1.0,boundary_analytic,1
16,1011,1111,200000,199999,0.999995,boundary_analytic,1
17,1000,0000,200000,200000,1.0,boundary_analytic,1
17,0010,0000,200000,200000,1.0,boundary_analytic,1
17,0010,0011,200000,200000,1.0,boundary_analytic,1
17,0011,0111,200000,133241,0.666205,boundary_analytic,1
17,1100,1101,200000,182326,0.91163,boundary_analytic,1
17,1110,1111,200000,200000,1.0,boundary_analytic,1
17,1011,1111,200000,199345,0.996725,boundary_analytic,1
18,1000,0000,200000,200000,1.0,boundary_analytic,1
18,0010,0000,200000,200000,1.0,boundary_analytic,1
18,0010,0011,200000,200000,1.0,boundary_analytic,1
18,0011,1011,200000,152479,0.762395,boundary_analytic,1
18,0011,0111,200000,133241,0.666205,boundary_analytic,1
18,1110,1111,200000,200000,1.0,boundary_analytic,1
18,1011,1111,200000,199345,0.996725,boundary_analytic,1
19,1000,0000,200000,200000,1.0,boundary_analytic,1
19,0010,0000,200000,200000,1.0,boundary_analytic,1
19,0010,0011,200000,200000,1.0,boundary_analytic,1
19,0011,0111,200000,133241,0.666205,boundary_analytic,1
19,1100,1101,200000,177644,0.88822,boundary_analytic,1
19,1000,1001,200000,173389,0.866945,boundary_analytic,1
19,1110,1111,200000,200000,1.0,boundary_analytic,1
19,1011,1111,200000,199345,0.996725,boundary_analytic,1
20,1000,0000,200000,200000,1.0,boundary_analytic,1
